instance,structure,primal_source_inventory,dual_source_inventory,general_casebook_role,historical_primal,historical_dual,historical_conclusion,primal_category,primal_project_baseline,primal_project_result,historical_copt_dual,historical_project_dual,newer_dual_audit_bound,newer_dual_audit_evidence,newer_dual_audit_limits,general_rule,primal_transferable_rule,primal_limitation,source_url,snapshot_commit
ger50-17-ptp-pop-3t,网络设计与连续 recourse,True,True,not_explicitly_mapped_here,"5,224.5144 (strict)","5,183.93592586653 (solver)",Exact flow scaling; conflicting Gurobi 13 zero-gap output rejected; 0.7767% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,迁移可验证设计；联合释放容量、路径和运作选择，再解连续 recourse。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ger50-17-ptp-pop-3t/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
gmut-76-40,林地集合打包与跨期平滑,True,True,not_explicitly_mapped_here,"-14,169,477.7859 (strict repaired)","-14,171,086.31587 (solver)",Exact-decimal primal audit; 0.0114% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,保持面积/相邻禁采并联合调整跨期流量；差异支持连成大块时扩大 destroy。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/gmut-76-40/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
gmut-76-50,林地集合打包与跨期平滑,True,True,named_case_or_family_expansion,-14171397.8275 (strict),no new certified global bound,Public lower-looking witness is nonintegral; no incumbent improvement claimed,not_in_project_primal_table,,,,,,,,严格整数审计和差异支持连通性决定多删多加尺度；未声称改善,保持面积/相邻禁采并联合调整跨期流量；差异支持连成大块时扩大 destroy。,更低官方点非整数，取整后流量行违约 0.065235；普通三列交换没有修复。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/gmut-76-50/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graph40-20-1rand,不交图割打包,True,True,not_explicitly_mapped_here,-15 (15 cuts),"-15 published, graph identity not certified",Feasible; global optimality not locally certified,not_in_project_primal_table,,,,,,,,,在原图上构造 cut 集或 SAT cutoff witness，重新生成编译变量。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graph40-20-1rand/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graph40-40-1rand,不交图割打包,True,True,named_case_or_family_expansion,-9 (9 cuts),-9,"Optimal, original-MPS/CNF/LRAT certificate",not_in_project_primal_table,,,-68.9559386,-9,,,,精确 cutoff 编码和独立 DRAT/LRAT 检查,在原图上构造 cut 集或 SAT cutoff witness，重新生成编译变量。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graph40-40-1rand/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graph40-80-1rand,不交图割打包,True,True,named_case_or_family_expansion,-7,-7,"Optimal, original-MPS/CNF/LRAT certificate",not_in_project_primal_table,,,-495.450445,-7,,,,精确 cutoff 编码和独立 DRAT/LRAT 检查,在原图上构造 cut 集或 SAT cutoff witness，重新生成编译变量。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graph40-80-1rand/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graphdraw-mainerd,布局/装箱/几何关系,True,True,not_explicitly_mapped_here,"38,842 (exact reconstruction)","31,882 (exact global certificate)",New global geometric proof; historical six-rectangle local exclusion remains separate; global optimum open,not_in_project_primal_table,,,31493.2257,**31882**,31882,本地精确几何投影＋四方向分支对偶证书,采用新精确界31882。这是新增证明，不是对原31769搜索过程的重放；原局部“最多移动若干矩形”结果不进入全局链。不宣称最优。,,搜索物体、朝向和相对次序而非辅助 bit；临界路径联合移动，回代全部几何行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graphdraw-mainerd/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
graphdraw-opmanager,布局/装箱/几何关系,True,True,not_explicitly_mapped_here,"99,445.5","58,950 (exact global certificate)",New global geometric proof; historical four-rectangle local exclusion remains separate; global optimum open,not_in_project_primal_table,,,56741.4457,**58950**,58950,本地精确几何投影＋四方向分支对偶证书,采用新精确界58950。这是新增证明，不是对原58625.5搜索过程的重放；原局部“最多移动若干矩形”结果不进入全局链。不宣称最优。,,搜索物体、朝向和相对次序而非辅助 bit；临界路径联合移动，回代全部几何行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/graphdraw-opmanager/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
gsvm2rl11,分类器与离群选择,True,True,not_explicitly_mapped_here,"18,539.12716192643 (strict)","2,096.755457820071",Feasible; sparse-exchange prototypes tested; global optimum open,not_in_project_primal_table,,,,,,,,,联合交换样本 z 后解连续分类 recourse；用支持差异与 margin 选择邻域。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/gsvm2rl11/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
gsvm2rl9,分类器与离群选择,True,True,not_explicitly_mapped_here,"7,438.181167767967 (strict)","2,289.659530409",Feasible; no official-target improvement within z radius 8; global optimum open,not_in_project_primal_table,,,,,,,,,联合交换样本 z 后解连续分类 recourse；用支持差异与 margin 选择邻域。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/gsvm2rl9/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ivu06,覆盖/划分的支持交换,True,True,not_explicitly_mapped_here,142.864331576,135.900242315 (portable),Exact rational dual checked against all columns; global optimum open,not_in_project_primal_table,,,,,,,,,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ivu06/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
liu,布局/装箱/几何关系,True,True,not_explicitly_mapped_here,"1,082 (new strict solution)","1,074 (area + even-lattice certificate)","Feasible; target-1,080 critical-path study closes two restricted neighborhoods, but global optimum remains open",numeric_improvement,1083.984782,1082,560,1074,,,,,搜索物体、朝向和相对次序而非辅助 bit；临界路径联合移动，回代全部几何行。,1082 由 sequence-pair CP-SAT 460.253 s 找到；偶数尺寸+差分系统保证最优可取偶数，下个目标 1080。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/liu/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
lr1dr02vc05v8a-t360,库存路线/货物与车辆耦合,True,True,not_explicitly_mapped_here,"123,046.81611861245 (strict normalized)",no new bound,Route RVND/ILS and capacity-preserving compound exchanges tested; global optimum open,not_in_project_primal_table,,,,,,,,,联合改变行程、装载和跨期库存；历史路线只作为候选并重新补全。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/lr1dr02vc05v8a-t360/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
milo-v12-6-r1-75-1,构件选择与力学 recourse,True,True,not_explicitly_mapped_here,"1,153,756.398205675","1,125,907.0416245167 (solver)","2.4138% numerical gap; 5,236 fixed-topology tests; global optimum open",not_in_project_primal_table,,,,,,,,,在超过已关闭构件半径的联合选择中搜索；用平衡/位移 LP 检验。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/milo-v12-6-r1-75-1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
milo-v13-4-3d-4-0,构件选择与力学 recourse,True,True,not_explicitly_mapped_here,"358,152.26219370891","221,230.41433552347 (solver)",Same verified design; prior member-radius-7 result retained; global optimum open,not_in_project_primal_table,,,,,,,,,在超过已关闭构件半径的联合选择中搜索；用平衡/位移 LP 检验。,至多七个构件改变无更好解；同设计浮点目标小变动不记成新设计。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/milo-v13-4-3d-4-0/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
mining,开采先序与跨期容量,True,True,named_case_or_family_expansion,"-833,589,149.2736538586882046","-835,361,895.5863052144840282387439 (strict)",Exact certified interval; 0.2126642740% gap; global optimum open,not_in_project_primal_table,,,-933493233,-835361895.5863052144840282387439,,,,闭包/路径核心与少量资源行；min-cut/DP、拉格朗日与有理证书,以开采时刻为状态，联合释放连续时期和先序闭包；更新最终 pit 的限制要显式记录。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/mining/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
minutedispatchstrategy,电力调度,True,True,not_explicitly_mapped_here,"3,109.9034777596576","3,109.9034777596576 (Gurobi)","Repository computational closure; official page still open; strict primal audit, not yet incorporated into or confirmed by MIPLIB, and no portable exact lower-bound certificate",not_in_project_primal_table,,,3109.78686,3109.9034777596576,3109.9034777596576,原模型＋历史全局solver数值闭合；历史差异保留备注,按用户决定采用新下界，但冻结旧PDF primal=3109.90308低于新界约0.00039776，对应原解仍缺。另一份COPT残差不能解释该特定旧记录；历史差异尚未解决，未发现经验证反例。采用新值是使用决定，不把未决事项改写成证明已闭合。,,先核对严格整数与连续 recourse；已有闭合证据时停止同模型 primal 搜索。,严格目标比 v36 高约 3.45e-12；贡献是计算闭合，不是 primal 改进。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/minutedispatchstrategy/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
n3700,网络设计与连续 recourse,True,True,not_explicitly_mapped_here,"1,247,295 (strict)","1,063,103.147061621",Feasible; fixed-charge/network repair tested; global optimum open,not_in_project_primal_table,,,,,,,,,迁移可验证设计；联合释放容量、路径和运作选择，再解连续 recourse。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/n3700/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
nag,选择核心与局部耦合,True,True,not_explicitly_mapped_here,930 (verified @ 1e-9),550.540540540541,Feasible under the stated tolerance; global optimum open,numeric_improvement,945,930,465,550.5405405405405,550.5405405405405,原MPS与runner可追溯＋历史全局solver数值支持,按接受合理solver全局数值结果的标准通过。未独立核算全部内部cuts或分支树，也未进行商业数值复跑；API小数是数值记录，不是逐位精确认证。相对旧COPT PDF的提高不能归因为某个参数，也不是同预算性能优势的证明。,,从 row incidence 恢复成本/资源块，选结构邻域做短 pilot；未知语义不靠名称猜。,930 来自 2700 s COPT 通用运行；没有证据把它归功于结构专用算法。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/nag/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-2629914-sudost,网络/匹配/离散核心,True,True,not_explicitly_mapped_here,"48,180","48,180","Optimal, exact QAP/cut-enumeration certificate",not_in_project_primal_table,,,42387.0653,48180,,,,,消除可构造的辅助变量，保留守恒/奇偶/连通条件；用小核心生成完整见证。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-2629914-sudost/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-2978205-isar,重复列/类型计数,True,True,named_case_or_family_expansion,-11.925808687,-11.925808687,"Optimal, computational global conclusion; exact symmetry quotient and lift with no portable formal lower-bound trace",not_in_project_primal_table,,,,,,,,重复列聚为类型计数，证明 quotient 到原模型的 lift,全列签名验证后搜索 multiplicity；显式实现 lift 并检查所有 side rows。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-2978205-isar/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3009394-lami,网络/匹配/离散核心,True,True,not_explicitly_mapped_here,5.5,5.5,"Optimal, exact Hall/matching certificate",not_in_project_primal_table,,,1.92857143,5.5,,,,,消除可构造的辅助变量，保留守恒/奇偶/连通条件；用小核心生成完整见证。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3009394-lami/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3355120-tarago,选择核心与局部耦合,True,True,not_explicitly_mapped_here,"-11,110,906.689290019 (verified @ 1e-9)","-11,123,832.676970437",Feasible; incumbent-centered binary exchange attempted; 0.1163% gap remains,not_in_project_primal_table,,,-11712060.9,-11123832.676970437,-11123832.676970437,原MPS与runner可追溯＋历史全局solver数值支持,按接受合理solver全局数值结果的标准通过。未独立核算全部内部cuts或分支树，也未进行商业数值复跑；API小数是数值记录，不是逐位精确认证。相对旧COPT PDF的提高不能归因为某个参数，也不是同预算性能优势的证明。,,从 row incidence 恢复成本/资源块，选结构邻域做短 pilot；未知语义不靠名称猜。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3355120-tarago/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3355323-arnon,有限域可行性/覆盖修复,True,True,not_explicitly_mapped_here,no feasible witness,no infeasibility certificate,Exact order-CSP/CNF search remains unknown,not_in_project_primal_table,,,,,,,,,保持硬配额或边界，按未满足约束构造 repair；未完全满足时只保留 near-feasible 标签。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3355323-arnon/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3594536-henty,网络/匹配/离散核心,True,True,not_explicitly_mapped_here,"401,092","401,092 (Gurobi/COPT)","Computational optimum; exact primal audit, no portable exact lower-bound certificate",numeric_improvement,401223,401092,397821.689,401092,401092,严格结构归约＋历史两种solver数值闭合,归约部分严格成立，401092这一数值由历史全局solver支持。两种solver一致和401092可行解不等于独立精确下界证书；本次没有重跑它们。没有采用improve-only cutoff分支或较弱400947替代原声明。,,消除可构造的辅助变量，保留守恒/奇偶/连通条件；用小核心生成完整见证。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3594536-henty/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3603137-hoteo,有限域可行性/覆盖修复,True,True,not_explicitly_mapped_here,no feasible point,CP and SAT UNKNOWN,Global feasibility open; no UNSAT proof,not_in_project_primal_table,,,,,,,,,保持硬配额或边界，按未满足约束构造 repair；未完全满足时只保留 near-feasible 标签。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3603137-hoteo/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3634244-kauru,等基数 minimax 聚类,True,True,not_explicitly_mapped_here,1398.0156859 (strict),no new certified global bound,Equitable-minimax-clustering recovery; no incumbent improvement claimed,not_in_project_primal_table,,,,,,,,,固定更低成本阈值，在冲突图上做保持每簇七点的联合交换。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3634244-kauru/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-3691541-lonja,选择核心与局部耦合,True,True,not_explicitly_mapped_here,0.0918239856 (strict),no new certified global bound,Exact subset witnesses plus complete-hint CP-SAT; public lower-valued pattern fails zero-tolerance feasibility; global optimum open,not_in_project_primal_table,,,,,,,,,从 row incidence 恢复成本/资源块，选结构邻域做短 pilot；未知语义不靠名称猜。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-3691541-lonja/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-4355351-swalm,网络/匹配/离散核心,True,True,named_case_or_family_expansion,33.45763,33.45763,"Optimal, exact state-Steiner DP and zero-violation witness",not_in_project_primal_table,,,,,,,,找小状态图核心并穷尽 DP；用全局界覆盖未枚举补集,消除可构造的辅助变量，保留守恒/奇偶/连通条件；用小核心生成完整见证。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-4355351-swalm/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-4360552-sangro,网络/匹配/离散核心,True,True,not_explicitly_mapped_here,-8,-8,"Optimal, exact active-layer quotient and A=9 relaxed infeasibility",not_in_project_primal_table,,,-12.0644768,-8,,,,,消除可构造的辅助变量，保留守恒/奇偶/连通条件；用小核心生成完整见证。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-4360552-sangro/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-4533806-waima,选择核心与局部耦合,True,True,not_explicitly_mapped_here,"4,870 (exact audit)","3,956 (solver)",Exact aggregation and path-component LNS completed; no improvement; global optimum open,not_in_project_primal_table,,,,,,,,,从 row incidence 恢复成本/资源块，选结构邻域做短 pilot；未知语义不靠名称猜。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-4533806-waima/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-5045105-creuse,选择核心与局部耦合,True,True,not_explicitly_mapped_here,20.571410408673 (Gurobi-accepted),19.932229270717,Feasible under solver tolerances; combined observed gap 3.1071%; strict verification and global optimum open,not_in_project_primal_table,,,,,,,,,从 row incidence 恢复成本/资源块，选结构邻域做短 pilot；未知语义不靠名称猜。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-5045105-creuse/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
neos-5266653-tugela,路线与负载/时间势,True,True,not_explicitly_mapped_here,"65,257.573990387 (new strict incumbent)",no new certified global bound,Three-vehicle-block LNS and two exact original-MPS audits; improves MIPLIB by 247.6265848893; global optimum open,numeric_improvement,65505.2005752763,65257.573990387,,,,,,,恢复路线后先构造分配和路线，再补时间/负载/indicator 变量；只迁移经核对的数据。,18 个车辆块按列交错，不能当连续切片；成功联合释放车辆 3/11/12，连续势重新修复。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/neos-5266653-tugela/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
nj1,人口均衡与连通分区,True,True,not_explicitly_mapped_here,382.0606208032 (improved first strict incumbent),no new nontrivial strict global lower bound,"Tree/compound search, 21 pair, 39 anchor-fixed triple, and 67 anchor-fixed quad closures, plus a zero-tolerance audit; global optimum open",first_finite,=unkn=,382.0606208032,,,,,,,区域重组、compound kick 后局部下降；解除旧 anchor 或扩大区域联合范围。,与 nj2/nj3 共用底层 595 区块分区；三条结果不是三次独立发现。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/nj1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
nj2,人口均衡与连通分区,True,True,not_explicitly_mapped_here,382.0606208032 (improved first strict incumbent),no new nontrivial strict global lower bound,"Exact lift, local-neighborhood closures, and zero-tolerance audit; global optimum open",first_finite,=unkn=,382.0606208032,,,,,,,区域重组、compound kick 后局部下降；解除旧 anchor 或扩大区域联合范围。,同一分区须重新生成根/流变量并核对额外 label 约束。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/nj2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
nj3,人口均衡与连通分区,True,True,not_explicitly_mapped_here,382.0606208032 (first strict incumbent),no new nontrivial strict global lower bound,"Exact nj2 -> nj3 projection, label anchoring, local-neighborhood closures, and zero-tolerance audit; global optimum open",first_finite,=unkn=,382.0606208032,,,,,,,区域重组、compound kick 后局部下降；解除旧 anchor 或扩大区域联合范围。,当前中心 382.0606208032：21 pair、39 anchored triple、67 anchored quad 已关闭；下一步改变 union/anchor/更大结构。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/nj3/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ns1631475,网络/匹配/离散核心,True,True,named_case_or_family_expansion,"11,100","11,100","Optimal, exact cyclic-cutwidth enumeration and audited witness",not_in_project_primal_table,,,1659,11100,,,,找小状态图核心并穷尽 DP；用全局界覆盖未枚举补集,消除可构造的辅助变量，保留守恒/奇偶/连通条件；用小核心生成完整见证。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ns1631475/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ns1828997,选择核心与局部耦合,True,True,not_explicitly_mapped_here,8,no new lower-bound-8 certificate,Exact 375-choice projection and cutoff-7 CNF; exact search remains unknown,not_in_project_primal_table,,,,,,,,,从 row incidence 恢复成本/资源块，选结构邻域做短 pilot；未知语义不靠名称猜。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ns1828997/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ns1905797,路线与负载/时间势,True,True,not_explicitly_mapped_here,13.98258 (new strict incumbent),"12.38858 (COPT, numerical)",Serialized file passes zero-tolerance Fraction audit; 11.40% numerical gap; global optimum open,first_finite,=unkn=,13.98258,,,,,,,恢复路线后先构造分配和路线，再补时间/负载/indicator 变量；只迁移经核对的数据。,LP 分配 19/8/9/24 失衡；改为 20/11/11/18 后分块构造，warm-start 改进；不能混用不同分配的块解。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ns1905797/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ns2122698,选择核心与局部耦合,True,True,not_explicitly_mapped_here,"68,750 (strict repair)","62,785.565316 (strict)",Exact primal/dual interval; global optimum open,not_in_project_primal_table,,,,,,,,,从 row incidence 恢复成本/资源块，选结构邻域做短 pilot；未知语义不靠名称猜。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ns2122698/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
pb-gfrd-pnc,重复列/类型计数,True,True,not_explicitly_mapped_here,"8,844 (strict)","8,566 (solver)","Exact identical-column quotient removes 9,944 variables; 3.1434% numerical gap; global optimum open",not_in_project_primal_table,,,,,,,,,全列签名验证后搜索 multiplicity；显式实现 lift 并检查所有 side rows。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/pb-gfrd-pnc/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
pb-grow22,重复列/类型计数,True,True,not_explicitly_mapped_here,-449536,-449546 (solver),Exact symmetry quotient; numerical 10-unit interval without portable cutoff proof; global optimum open,not_in_project_primal_table,,,,,,,,,全列签名验证后搜索 multiplicity；显式实现 lift 并检查所有 side rows。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/pb-grow22/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
polygonpack4-15,布局/装箱/几何关系,True,True,not_explicitly_mapped_here,"-63,613,612.411253203798895776945039... (strict repair)",no new global lower bound,"Exact recovered geometry, radius/object neighborhoods and mask screening; no MIPLIB headline improvement; global optimum open",not_in_project_primal_table,,,,,,,,,搜索物体、朝向和相对次序而非辅助 bit；临界路径联合移动，回代全部几何行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/polygonpack4-15/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
polygonpack4-7,布局/装箱/几何关系,True,True,not_explicitly_mapped_here,"-51,837,707.95034043267785954996 (strict repair)",no new global lower bound,Full submitted-MPS geometry audit; no strict incumbent improvement; global optimum open,not_in_project_primal_table,,,,,,,,,搜索物体、朝向和相对次序而非辅助 bit；临界路径联合移动，回代全部几何行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/polygonpack4-7/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
polygonpack5-15,布局/装箱/几何关系,True,True,not_explicitly_mapped_here,"-55,494,687.647606651289167114364938... (strict repair)",no new global lower bound,Improves the only audited official literal-zero solution but not the MIPLIB tolerance headline; global optimum open,not_in_project_primal_table,,,,,,,,,搜索物体、朝向和相对次序而非辅助 bit；临界路径联合移动，回代全部几何行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/polygonpack5-15/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
